"","names","transcript_id","cell_components_terms","mol_functions_terms","bio_process_terms","length"
"3597","Sc_g03435: expansin-A11-like","Sc_g03435","extracellular region, cell wall, membrane",""," plant-type cell wall organization",699
"3598","Sc_g03436: Golgi to ER traffic protein 4 homolog","Sc_g03436"," BAT3 complex","protein binding"," protein insertion into ER membrane",1289
"3599","Sc_g03437: Golgi to ER traffic protein 4 homolog","Sc_g03437"," BAT3 complex","protein binding"," protein insertion into ER membrane",369
"3600","Sc_g03438: mitogen-activated protein kinase homolog NTF3-like","Sc_g03438"," nucleus, cytoplasm"," MAP kinase activity, ATP binding","MAPK cascade, regulation of gene expression",1864
"3601","Sc_g03439: cilia- and flagella-associated protein 20","Sc_g03439","microtubule associated complex, axonemal microtubule, motile cilium, ciliary basal body, axonemal central pair, axonemal outer doublet",""," axoneme assembly, positive regulation of cilium assembly, regulation of cilium beat frequency involved in ciliary motility, establishment of protein localization to organelle, positive regulation of cilium-dependent cell motility",417
"3602","Sc_g03440: peptidase S8","Sc_g03440","","serine-type endopeptidase activity"," proteolysis",1536
"3603","Sc_g03441: interferon-related developmental regulator 2","Sc_g03441","","","",1865
"3604","Sc_g03442: protein RMD5 homolog A-like","Sc_g03442"," nucleus, cytoplasm, GID complex","ubiquitin-protein transferase activity, protein binding, metal ion binding"," protein ubiquitination, proteasome-mediated ubiquitin-dependent protein catabolic process",1749
"3605","Sc_g03443: purple acid phosphatase 15-like","Sc_g03443","","acid phosphatase activity, metal ion binding"," dephosphorylation",1701
"3606","Sc_g03444: putative Myb family transcription factor At1g14600 isoform X2","Sc_g03444"," nucleus","DNA binding","",1131
"3607","Sc_g03445: putative Myb family transcription factor At1g14600","Sc_g03445"," nucleus","DNA binding","",2091
"3608","Sc_g03445: putative Myb family transcription factor At1g14600","Sc_g03445"," nucleus","DNA binding","",1720
"3609","Sc_g03446: GroES-like protein","Sc_g03446","","zinc ion binding, oxidoreductase activity"," oxidation-reduction process",1662
"3610","Sc_g03447: RING-H2 finger protein ATL13-like","Sc_g03447","","binding","",1359
"3611","Sc_g03448: transcription factor tau subunit sfc4-like isoform X1","Sc_g03448","","RNA polymerase III transcription regulator recruiting activity"," RNA polymerase III preinitiation complex assembly",2751
"3612","Sc_g03449: 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase, chloroplastic-like","Sc_g03449",""," kinase activity, hydrolase activity, protein self-association","protein phosphorylation, riboflavin biosynthetic process",738
"3613","Sc_g03450: V-type proton ATPase catalytic subunit A","Sc_g03450","plant-type vacuole, vacuolar membrane, plasma membrane, proton-transporting V-type ATPase, V1 domain"," ATP binding, proton-transporting ATPase activity, rotational mechanism"," ATP hydrolysis coupled proton transport, ATP metabolic process",2231
"3614","Sc_g03451: SAP domain","Sc_g03451","","","regulation of proteasomal ubiquitin-dependent protein catabolic process",500
"3615","Sc_g03452: Putative RNA-binding rbpD","Sc_g03452","","nucleic acid binding","",657
"3616","Sc_g03453: BTB/POZ domain-containing protein At3g09030","Sc_g03453","","","protein homooligomerization",1347
"3617","Sc_g03454: cyclin-U1-1","Sc_g03454",""," protein kinase binding","regulation of cyclin-dependent protein serine/threonine kinase activity",2073
"3618","Sc_g03455: uncharacterized protein LOC112273328","Sc_g03455","","metal ion binding","",639
"3619","Sc_g03456: NEDD8-activating enzyme E1 catalytic subunit","Sc_g03456"," cytoplasm","ATP binding, acid-amino acid ligase activity, NEDD8 activating enzyme activity"," protein neddylation",2138
"3620","Sc_g03456: NEDD8-activating enzyme E1 catalytic subunit","Sc_g03456"," cytoplasm","ATP binding, acid-amino acid ligase activity, NEDD8 activating enzyme activity"," biosynthetic process, protein neddylation",2067
"3621","Sc_g03456: UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase-like","Sc_g03456","","ligase activity","",306
"3622","Sc_g03457: putative G3BP-like protein isoform X1","Sc_g03457","","RNA binding","",2210
"3623","Sc_g03458: NAC domain-containing protein 86-like isoform X2","Sc_g03458"," nucleus, integral component of membrane","DNA binding"," regulation of transcription, DNA-templated",2313
"3624","Sc_g03459: Guanine deaminase","Sc_g03459",""," zinc ion binding, guanine deaminase activity","guanine catabolic process",1505
"3625","Sc_g03460: fibroin heavy chain-like isoform X3","Sc_g03460","","","",489
"3626","Sc_g03461: homocysteine S-methyltransferase 2-like","Sc_g03461","cytoplasm"," zinc ion binding, betaine-homocysteine S-methyltransferase activity"," methionine biosynthetic process, methylation",1493
"3627","Sc_g03462: CST complex subunit TEN1","Sc_g03462"," CST complex","single-stranded DNA binding"," cellular process, multicellular organismal process, developmental process, biological regulation",297
"3628","Sc_g03463: ABC transporter B family member 25","Sc_g03463"," integral component of membrane","ATP binding, ATPase activity, coupled to transmembrane movement of substances"," transmembrane transport",3977
"3629","Sc_g03464: exocyst complex component EXO84B","Sc_g03464","exocyst",""," exocytosis",1974
"3630","Sc_g03465: ---NA---","Sc_g03465","","","",991
"3631","Sc_g03466: uncharacterized protein LOC112273022","Sc_g03466"," nucleus","ATP binding"," regulation of transcription, DNA-templated",3078
"3632","Sc_g03466: uncharacterized protein LOC112273022","Sc_g03466","","","",1164
"3633","Sc_g03467: tetraketide alpha-pyrone reductase 2","Sc_g03467","","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor, coenzyme binding"," oxidation-reduction process",2346
"3634","Sc_g03468: glycine cleavage system H protein 2, mitochondrial","Sc_g03468","mitochondrion, glycine cleavage complex",""," glycine decarboxylation via glycine cleavage system",468
"3635","Sc_g03469: Protein ROOT HAIR DEFECTIVE 3","Sc_g03469"," membrane","GTP binding","",1131
"3636","Sc_g03470: protein ROOT HAIR DEFECTIVE 3 homolog 2","Sc_g03470"," cytoplasm, endoplasmic reticulum, endoplasmic reticulum membrane, membrane, integral component of membrane","nucleotide binding, GTPase activity, GTP binding, hydrolase activity"," endoplasmic reticulum organization, endoplasmic reticulum membrane fusion, endoplasmic reticulum inheritance",363
"3637","Sc_g03471: protein ROOT HAIR DEFECTIVE 3 homolog 2","Sc_g03471"," endoplasmic reticulum, endoplasmic reticulum membrane, membrane, integral component of membrane","nucleotide binding, GTPase activity, GTP binding, hydrolase activity","",582
"3638","Sc_g03472: predicted protein","Sc_g03472",""," RNA binding, RNA methyltransferase activity","RNA methylation, RNA processing",846
"3639","Sc_g03473: 60S ribosomal protein L18a-like protein isoform X1","Sc_g03473","integral component of membrane","","",339
"3640","Sc_g03474: pectin acetylesterase 7","Sc_g03474","extracellular region, cell wall, membrane"," hydrolase activity"," cell wall organization",912
"3641","Sc_g03475: ---NA---","Sc_g03475","","","",805
"3642","Sc_g03476: hypothetical protein PHYPA_026052","Sc_g03476","","","",857
"3643","Sc_g03477: Kynurenine formamidase","Sc_g03477","","arylformamidase activity"," tryptophan catabolic process to kynurenine",768
"3644","Sc_g03478: Kynurenine formamidase","Sc_g03478","","arylformamidase activity"," tryptophan catabolic process to kynurenine",1171
"3645","Sc_g03479: transmembrane protein 258-like","Sc_g03479"," oligosaccharyltransferase I complex","","protein N-linked glycosylation",556
"3646","Sc_g03480: protein ALWAYS EARLY 3-like isoform X1","Sc_g03480"," transcriptional repressor complex","DNA binding"," transcription, DNA-templated",4432
"3647","Sc_g03481: isocitrate lyase","Sc_g03481"," glyoxysome","isocitrate lyase activity, metal ion binding"," glyoxylate cycle, tricarboxylic acid cycle",2247
"3648","Sc_g03481: isocitrate lyase","Sc_g03481"," glyoxysome","isocitrate lyase activity, metal ion binding"," glyoxylate cycle, tricarboxylic acid cycle",2368
"3649","Sc_g03482: glucose-6-phosphate 1-dehydrogenase, chloroplastic-like isoform X2","Sc_g03482","","branched-chain-amino-acid transaminase activity, glucose-6-phosphate dehydrogenase activity, NADP binding"," glucose metabolic process, pentose-phosphate shunt, branched-chain amino acid metabolic process, oxidation-reduction process",2165
"3650","Sc_g03483: DNA replication licensing factor MCM7","Sc_g03483","THO complex, cytoplasm, MCM complex"," DNA binding, DNA helicase activity, ATP binding"," DNA replication initiation, cell cycle, DNA duplex unwinding",2619
"3651","Sc_g03484: protein-L-isoaspartate O-methyltransferase-like isoform X1","Sc_g03484"," cytoplasm","protein-L-isoaspartate (D-aspartate) O-methyltransferase activity"," protein methylation",666
"3652","Sc_g03485: histone-lysine N-methyltransferase ASHR1-like","Sc_g03485","","protein binding","",1971
"3653","Sc_g03486: ABC transporter C family member 14-like","Sc_g03486"," integral component of membrane","ATP binding, ATPase activity, coupled to transmembrane movement of substances"," transmembrane transport",4257
"3654","Sc_g03487: uncharacterized protein LOC112292685 isoform X1","Sc_g03487","","","",2388
"3655","Sc_g03488: ---NA---","Sc_g03488","","","",438
"3656","Sc_g03489: probable protein phosphatase 2C 46","Sc_g03489","","protein serine/threonine phosphatase activity, metal ion binding"," protein dephosphorylation",936
"3657","Sc_g03490: uncharacterized protein LOC112284593","Sc_g03490","membrane","","",747
"3658","Sc_g03491: F-box only protein 6","Sc_g03491","","protein binding"," cellular protein metabolic process",333
"3659","Sc_g03492: F-box/kelch-repeat protein At5g15710","Sc_g03492","","protein binding","",1215
"3660","Sc_g03493: F-box/kelch-repeat protein At5g15710","Sc_g03493","","protein binding","",1140
"3661","Sc_g03494: F-box/kelch-repeat protein At5g15710","Sc_g03494","","ubiquitin-protein transferase activity"," protein ubiquitination, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",957
"3662","Sc_g03495: gamma-interferon-inducible lysosomal thiol reductase-like isoform X3","Sc_g03495","","","",1146
"3663","Sc_g03496: aberrant root formation protein 4","Sc_g03496","","","",1578
"3664","Sc_g03497: ATP-dependent 6-phosphofructokinase 5, chloroplastic","Sc_g03497"," cytoplasm","6-phosphofructokinase activity, ATP binding, metal ion binding"," fructose 6-phosphate metabolic process, glycolytic process through fructose-6-phosphate",1695
"3665","Sc_g03498: protein BPS1, chloroplastic-like","Sc_g03498","membrane, integral component of membrane","","",528
"3666","Sc_g03499: transmembrane protein","Sc_g03499","chloroplast thylakoid membrane, integral component of membrane","","",729
"3667","Sc_g03500: Latency-related protein","Sc_g03500","","","",717
"3668","Sc_g03501: aminoacylase-1 isoform X2","Sc_g03501"," cytoplasm, membrane","aminoacylase activity, metallopeptidase activity"," proteolysis, cellular amino acid metabolic process",1993
"3669","Sc_g03502: histone H1-I-like","Sc_g03502","nucleosome, nucleus"," DNA binding"," nucleosome assembly",465
"3670","Sc_g03503: GDT1-like protein 4","Sc_g03503","integral component of membrane","","",1329
"3671","Sc_g03504: thioredoxin-like protein YLS8","Sc_g03504"," U4/U6 x U5 tri-snRNP complex","","mRNA splicing, via spliceosome",267
"3672","Sc_g03505: vacuolar iron transporter homolog 2","Sc_g03505"," integral component of membrane"," iron ion transmembrane transporter activity, manganese ion transmembrane transporter activity","transition metal ion transport, intracellular sequestering of iron ion, cellular manganese ion homeostasis, inorganic cation transmembrane transport",870
"3673","Sc_g03506: ---NA---","Sc_g03506","","","",381
"3674","Sc_g03507: uncharacterized protein LOC112294457 isoform X1","Sc_g03507","","zinc ion binding","",405
"3675","Sc_g03508: protein MAEA homolog","Sc_g03508"," nucleus, cytoplasm, GID complex","ubiquitin-protein transferase activity, protein binding"," protein ubiquitination, proteasome-mediated ubiquitin-dependent protein catabolic process, negative regulation of gluconeogenesis",1089
"3676","Sc_g03509: D-xylose-proton symporter-like 3, chloroplastic isoform X1","Sc_g03509","chloroplast, integral component of membrane"," transmembrane transporter activity"," transmembrane transport",1299
"3677","Sc_g03510: chloroplast Toc64-2","Sc_g03510"," chloroplast envelope, integral component of membrane","amidase activity, protein binding","",2669
"3678","Sc_g03511: glycine-rich RNA-binding protein","Sc_g03511"," ribonucleoprotein complex","RNA binding","",453
"3679","Sc_g03512: late embryogenesis abundant protein At1g64065-like","Sc_g03512","integral component of membrane","","",702
"3680","Sc_g03513: ureide permease 1-like isoform X1","Sc_g03513","integral component of membrane"," transmembrane transporter activity"," transmembrane transport, nitrogen compound transport",1299
"3681","Sc_g03514: bifunctional phosphatase IMPL2, chloroplastic","Sc_g03514","","histidinol-phosphatase activity"," dephosphorylation, phosphatidylinositol phosphorylation",1833
"3682","Sc_g03515: glutathione S-transferase-like protein","Sc_g03515"," cytoplasm","glutathione transferase activity, protein binding"," glutathione metabolic process",1061
"3683","Sc_g03516: glutathione S-transferase-like protein","Sc_g03516"," cytoplasm","glutathione transferase activity, protein binding"," glutathione metabolic process",836
"3684","Sc_g03517: 4-hydroxy-tetrahydrodipicolinate synthase, chloroplastic","Sc_g03517"," chloroplast","4-hydroxy-tetrahydrodipicolinate synthase"," lysine biosynthetic process via diaminopimelate, diaminopimelate biosynthetic process",573
"3685","Sc_g03518: ---NA---","Sc_g03518","","","",360
"3686","Sc_g03519: glycine-rich RNA-binding protein 2-like","Sc_g03519"," ribonucleoprotein complex","RNA binding","",420
"3687","Sc_g03520: glutathione S-transferase-like protein","Sc_g03520"," cytoplasm","glutathione transferase activity, protein binding"," glutathione metabolic process",786
"3688","Sc_g03521: mitochondrial proton/calcium exchanger protein-like","Sc_g03521"," mitochondrion, integral component of membrane","calcium ion binding, ribosome binding","",2907
"3689","Sc_g03522: nucleotide-sugar uncharacterized transporter 3","Sc_g03522","integral component of membrane","","",1806
"3690","Sc_g03523: translocase of chloroplast 120, chloroplastic-like isoform X1","Sc_g03523"," chloroplast outer membrane","GTP binding, hydrolase activity, acting on acid anhydrides"," protein targeting to chloroplast",6687
"3691","Sc_g03524: F-box/kelch-repeat protein At5g15710-like","Sc_g03524","","ubiquitin-protein transferase activity, protein binding"," protein ubiquitination, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",1107
"3692","Sc_g03525: anaphase-promoting complex subunit 1","Sc_g03525","anaphase-promoting complex","","",4509
"3693","Sc_g03526: glutamate dehydrogenase B","Sc_g03526",""," oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor","cellular amino acid metabolic process, oxidation-reduction process",1736
"3694","Sc_g03527: Alpha-soluble NSF attachment protein","Sc_g03527"," vacuolar membrane, SNARE complex","soluble NSF attachment protein activity, syntaxin binding"," intracellular protein transport, SNARE complex disassembly",1181
"3695","Sc_g03528: poly [ADP-ribose] polymerase 1","Sc_g03528","","DNA binding, zinc ion binding, transferase activity"," metabolic process",1120
"3696","Sc_g03529: phosphoglycerate mutase-like protein 4","Sc_g03529","","catalytic activity","",711
"3697","Sc_g03530: catalase isozyme 2-like","Sc_g03530","","catalase activity, heme binding, metal ion binding"," response to hydrogen peroxide, hydrogen peroxide catabolic process, oxidation-reduction process, cellular oxidant detoxification",1675
"3698","Sc_g03531: cell number regulator 2-like","Sc_g03531","membrane, integral component of membrane","","",126
"3699","Sc_g03532: probable isoprenylcysteine alpha-carbonyl methylesterase ICMEL1 isoform X2","Sc_g03532","integral component of membrane"," hydrolase activity","",2238
"3700","Sc_g03533: polyadenylate-binding protein-interacting protein 8-like isoform X3","Sc_g03533","","RNA binding","",681
"3701","Sc_g03534: Fc receptor-like protein","Sc_g03534","membrane","","",621
"3702","Sc_g03535: carbonic anhydrase 2-like","Sc_g03535","","carbonate dehydratase activity, zinc ion binding"," carbon utilization",1424
"3703","Sc_g03536: HR-like lesion-inducer","Sc_g03536","integral component of membrane","","",764
"3704","Sc_g03537: L-cysteine desulfhydrase-like","Sc_g03537","","catalytic activity","",1266
"3705","Sc_g03538: tRNA (guanine-N(7)-)-methyltransferase","Sc_g03538"," nucleus, integral component of membrane, tRNA methyltransferase complex","tRNA binding, tRNA (guanine-N7-)-methyltransferase activity"," tRNA (guanine-N7)-methylation",1039
"3706","Sc_g03539: putative calcium ion binding protein","Sc_g03539","Golgi apparatus, membrane","","",1873
"3707","Sc_g03540: Vacuolar protein sorting-associated protein 13 domain","Sc_g03540","","","",10008
"3708","Sc_g03541: AP3-complex subunit beta-A","Sc_g03541"," AP-3 adaptor complex","","intracellular protein transport, Golgi to vacuole transport, regulation of intracellular pH, lytic vacuole organization",3482
"3709","Sc_g03542: ribosomal protein S13 (mitochondrion)","Sc_g03542"," mitochondrion, ribosome","RNA binding, structural constituent of ribosome"," translation",141
"3710","Sc_g03543: venom phosphodiesterase 2-like","Sc_g03543","vacuole, integral component of membrane"," hydrolase activity","",873
"3711","Sc_g03544: N-lysine methyltransferase SETD6","Sc_g03544","","protein binding, protein-lysine N-methyltransferase activity"," peptidyl-lysine monomethylation",1485
"3712","Sc_g03545: endoribonuclease Dicer homolog 1","Sc_g03545","","ribonuclease III activity, protein binding"," RNA processing, gene silencing by RNA, RNA phosphodiester bond hydrolysis, endonucleolytic",2628
"3713","Sc_g03546: protein NRT1/ PTR FAMILY 3.1","Sc_g03546","plasma membrane, integral component of membrane, intracellular vesicle"," peptide transmembrane transporter activity"," oligopeptide transport, gibberellic acid homeostasis, transmembrane transport",1830
"3714","Sc_g03547: peptidyl-prolyl cis-trans isomerase","Sc_g03547"," chloroplast stromal thylakoid, chloroplast thylakoid membrane, thylakoid lumen"," peptidyl-prolyl cis-trans isomerase activity, protein histidine kinase binding","protein peptidyl-prolyl isomerization, protein folding, response to stress, response to abiotic stimulus, NAD(P)H dehydrogenase complex assembly",864
"3715","Sc_g03548: universal stress protein PHOS34-like","Sc_g03548","plasma membrane"," hydrolase activity"," response to cold",504
"3716","Sc_g03549: early light-induced protein, chloroplastic-like","Sc_g03549","chloroplast thylakoid membrane, integral component of membrane","","",1029
"3717","Sc_g03550: DnaJ protein ERDJ3A","Sc_g03550","endoplasmic reticulum lumen, plasmodesma"," oxidoreductase activity"," response to heat, pollen tube growth, cell redox homeostasis, oxidation-reduction process",1569
"3718","Sc_g03551: TBC1 domain family member 17 isoform X2","Sc_g03551"," cytosol, integral component of membrane","GTPase activator activity, Rab GTPase binding"," intracellular protein transport, activation of GTPase activity",2311
"3719","Sc_g03551: TBC1 domain family member 17 isoform X2","Sc_g03551"," cytosol, integral component of membrane","GTPase activator activity, Rab GTPase binding"," intracellular protein transport, activation of GTPase activity",2501
"3720","Sc_g03551: RabGAP/TBC domain-containing protein","Sc_g03551"," cytosol, integral component of membrane","GTPase activator activity, Rab GTPase binding"," intracellular protein transport, activation of GTPase activity",2786
"3721","Sc_g03552: thylakoid lumenal 17.9 kDa protein, chloroplastic","Sc_g03552","thylakoid","","",810
"3722","Sc_g03553: mitochondrial fission protein ELM1-like","Sc_g03553","","","",2116
"3723","Sc_g03554: putative CAAX amino terminal protease","Sc_g03554","membrane","","",1016
"3724","Sc_g03555: poly [ADP-ribose] polymerase 1","Sc_g03555","","DNA binding, NAD+ ADP-ribosyltransferase activity, zinc ion binding"," protein ADP-ribosylation, response to stimulus",3692
"3725","Sc_g03556: uncharacterized protein LOC112285865","Sc_g03556","anaphase-promoting complex",""," regulation of mitotic cell cycle spindle assembly checkpoint",273
"3726","Sc_g03557: RPM1-interacting protein 4-like","Sc_g03557","plasma membrane",""," defense response signaling pathway, resistance gene-independent",1119
"3727","Sc_g03558: uncharacterized protein LOC112289666","Sc_g03558","membrane, integral component of membrane","","",555
"3728","Sc_g03559: disease resistance protein RML1A-like isoform X1","Sc_g03559","","protein binding"," signal transduction",606
"3729","Sc_g03560: putative disease resistance protein At3g14460","Sc_g03560","","hydrolase activity, ADP binding","",843
"3730","Sc_g03561: uncharacterized protein LOC112289666","Sc_g03561","membrane, integral component of membrane","","",531
"3731","Sc_g03562: ---NA---","Sc_g03562","","","",1317
"3732","Sc_g03562: ---NA---","Sc_g03562","","","",858
"3733","Sc_g03563: rhodanese-like domain-containing protein 4, chloroplastic","Sc_g03563","","","",1322
"3734","Sc_g03564: DNA polymerase eta isoform X1","Sc_g03564","","damaged DNA binding"," DNA repair",2551
"3735","Sc_g03565: probable glycerol-3-phosphate dehydrogenase [NAD(+)] 2, cytosolic","Sc_g03565"," cytosol, glycerol-3-phosphate dehydrogenase complex","glycerol-3-phosphate dehydrogenase [NAD+] activity, glycerol-3-phosphate dehydrogenase [NAD(P)+] activity, NAD binding"," carbohydrate metabolic process, NADH oxidation, glycerol-3-phosphate catabolic process",1919
"3736","Sc_g03566: mannose-1-phosphate guanylyltransferase 1","Sc_g03566"," nucleus, cytosol","mannose-1-phosphate guanylyltransferase activity, protein binding, GTP binding"," GDP-mannose biosynthetic process, response to heat, response to salt stress, response to jasmonic acid, response to ozone, L-ascorbic acid biosynthetic process, cellulose biosynthetic process, defense response to bacterium, response to ammonium ion",1675
"3737","Sc_g03567: aldose 1-epimerase","Sc_g03567","","isomerase activity, carbohydrate binding"," hexose metabolic process",1364
"3738","Sc_g03568: peptidyl-prolyl cis-trans isomerase CYP19-4-like","Sc_g03568"," extracellular region, multivesicular body, endoplasmic reticulum, Golgi stack, trans-Golgi network, cytosol, plasma membrane, plasmodesma, chloroplast"," peptidyl-prolyl cis-trans isomerase activity, unfolded protein binding","protein peptidyl-prolyl isomerization, protein folding, root development",579
"3739","Sc_g03569: peptidyl-prolyl cis-trans isomerase A1-like","Sc_g03569"," cytosol"," peptidyl-prolyl cis-trans isomerase activity, unfolded protein binding","protein peptidyl-prolyl isomerization",489
"3740","Sc_g03570: autophagy-related protein 18b isoform X2","Sc_g03570"," cytosol, extrinsic component of membrane, phagophore assembly site membrane"," protein binding, phosphatidylinositol-3-phosphate binding, phosphatidylinositol-3,5-bisphosphate binding","autophagy of mitochondrion, protein lipidation, protein localization to phagophore assembly site",1537
"3741","Sc_g03571: ataxin-3 homolog","Sc_g03571","","thiol-dependent ubiquitin-specific protease activity"," protein deubiquitination",1398
"3742","Sc_g03572: cytoplasmic 60S subunit biogenesis factor REI1 homolog 1-like","Sc_g03572","","nucleic acid binding, zinc ion binding","",1182
"3743","Sc_g03573: DNA repair protein RAD51 homolog","Sc_g03573"," nucleus","recombinase activity, double-stranded DNA binding, single-stranded DNA binding, ATP binding, DNA-dependent ATPase activity"," double-strand break repair via homologous recombination, mitotic recombination-dependent replication fork processing",1035
"3744","Sc_g03574: uncharacterized protein LOC112288802","Sc_g03574",""," hydrolase activity","lipid metabolic process",1581
"3745","Sc_g03575: auxin transport protein BIG","Sc_g03575","","catalytic activity, protein binding, zinc ion binding"," anatomical structure morphogenesis, post-embryonic development, system development, response to stimulus",15510
"3746","Sc_g03576: transmembrane protein 214-A-like","Sc_g03576","endoplasmic reticulum, Golgi apparatus","","",2153
"3747","Sc_g03577: AT1G17665-like protein","Sc_g03577","integral component of membrane","","",2313
"3748","Sc_g03578: dihydroxy-acid dehydratase, chloroplastic","Sc_g03578"," chloroplast stroma","dihydroxy-acid dehydratase activity, copper ion binding"," branched-chain amino acid biosynthetic process, response to salt stress, root development",1125
"3749","Sc_g03579: mitogen-activated protein kinase kinase 3","Sc_g03579"," nucleus, cytoplasm"," MAP kinase activity, MAP kinase kinase activity, ATP binding","activation of MAPK activity, abscisic acid-activated signaling pathway, defense response, incompatible interaction, induced systemic resistance, jasmonic acid mediated signaling pathway, induced systemic resistance, ethylene mediated signaling pathway",2411
"3750","Sc_g03580: eukaryotic translation initiation factor 2 subunit gamma","Sc_g03580"," cytosol, eukaryotic translation initiation factor 2 complex, integral component of membrane"," translation initiation factor activity, translation elongation factor activity, GTPase activity, GTP binding","formation of translation preinitiation complex, translational elongation",1680
"3751","Sc_g03581: vacuolar protein sorting-associated protein 54, chloroplastic","Sc_g03581","GARP complex, cytosol",""," retrograde transport, endosome to Golgi",3612
"3752","Sc_g03582: probable sugar phosphate/phosphate translocator At3g11320","Sc_g03582","endoplasmic reticulum, Golgi apparatus, integral component of membrane",""," carbohydrate transport",3099
"3753","Sc_g03583: probable protein phosphatase 2C 51 isoform X1","Sc_g03583","","protein serine/threonine phosphatase activity, metal ion binding"," protein dephosphorylation",2649
"3754","Sc_g03583: probable protein phosphatase 2C 51 isoform X1","Sc_g03583","","protein serine/threonine phosphatase activity, metal ion binding"," protein dephosphorylation",2496
"3755","Sc_g03584: long chain base biosynthesis protein 1","Sc_g03584","endoplasmic reticulum, integral component of membrane"," transferase activity, transferring acyl groups, pyridoxal phosphate binding"," biosynthetic process, multidimensional cell growth, regulation of programmed cell death",1254
"3756","Sc_g03585: protein ECERIFERUM 3","Sc_g03585"," endoplasmic reticulum membrane, integral component of membrane","sphingosine hydroxylase activity, iron ion binding"," sphingolipid biosynthetic process, oxidation-reduction process",2555
"3757","Sc_g03586: putative hypoxia-responsive family protein","Sc_g03586","integral component of mitochondrial inner membrane",""," mitochondrial respiratory chain complex IV assembly",761
"3758","Sc_g03587: DNA-directed RNA polymerases II and IV subunit 5A-like","Sc_g03587"," RNA polymerase II, core complex, RNA polymerase III complex, RNA polymerase I complex, integral component of membrane","RNA polymerase I activity, RNA polymerase II activity, RNA polymerase III activity, DNA binding"," transcription by RNA polymerase I, transcription by RNA polymerase II, transcription by RNA polymerase III",567
"3759","Sc_g03588: Thioredoxin X, chloroplastic","Sc_g03588"," chloroplast"," protein disulfide oxidoreductase activity, oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor, protein-disulfide reductase activity","glycerol ether metabolic process, cell redox homeostasis, oxidation-reduction process",381
"3760","Sc_g03589: O-fucosyltransferase 9-like","Sc_g03589"," integral component of membrane"," transferase activity, transferring glycosyl groups","fucose metabolic process",1896
"3761","Sc_g03590: structural maintenance of chromosomes protein 5","Sc_g03590"," plasmodesma, Smc5-Smc6 complex","","double-strand break repair via homologous recombination, sister chromatid cohesion",3497
"3762","Sc_g03591: vacuolar protein sorting-associated protein 53 A","Sc_g03591","GARP complex, cytosol",""," retrograde transport, endosome to Golgi",2978
"3763","Sc_g03592: 3-ketodihydrosphingosine reductase isoform X1","Sc_g03592","","oxidoreductase activity, 3-dehydrosphinganine reductase activity"," oxidation-reduction process",993
"3764","Sc_g03593: BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1-like","Sc_g03593","membrane"," kinase activity","",1978
"3765","Sc_g03593: hypothetical protein PHYPA_011303","Sc_g03593","membrane","","",1277
"3766","Sc_g03594: hypothetical protein PHYPA_027787","Sc_g03594","","","",610
"3767","Sc_g03595: hypothetical protein PHYPA_028654","Sc_g03595","","","",183
"3768","Sc_g03596: urease isoform X1","Sc_g03596","","urease activity, nickel cation binding"," urea catabolic process",2998
"3769","Sc_g03596: urease isoform X1","Sc_g03596","","urease activity, nickel cation binding"," urea catabolic process",2876
"3770","Sc_g03597: mitotic spindle checkpoint protein BUBR1","Sc_g03597","","","mitotic spindle assembly checkpoint",2649
"3771","Sc_g03598: vesicle-associated protein 1-2-like","Sc_g03598","endoplasmic reticulum membrane, integral component of membrane","","",705
"3772","Sc_g03599: cytochrome b-c1 complex subunit Rieske-4, mitochondrial-like","Sc_g03599","mitochondrial respiratory chain complex III, integral component of membrane"," ubiquinol-cytochrome-c reductase activity, metal ion binding, 2 iron, 2 sulfur cluster binding"," mitochondrial electron transport, ubiquinol to cytochrome c",1010
"3773","Sc_g03600: em-like protein GEA1","Sc_g03600","cytosol",""," response to abscisic acid",549
"3774","Sc_g03601: group 1 LEA protein","Sc_g03601","","","",168
"3775","Sc_g03602: em-like protein GEA6","Sc_g03602","nucleus, cytosol",""," response to abscisic acid",569
"3776","Sc_g03603: UPF0187 protein At3g61320, chloroplastic-like","Sc_g03603","membrane","","",1182
"3777","Sc_g03604: protein EMB-1","Sc_g03604","nucleus, cytosol",""," response to abscisic acid",576
"3778","Sc_g03605: protein EMB-1-like","Sc_g03605","nucleus, cytosol",""," response to abscisic acid",479
"3779","Sc_g03606: endochitinase CH5B","Sc_g03606","","chitinase activity, chitin binding"," carbohydrate metabolic process, chitin catabolic process, cell wall macromolecule catabolic process",1219
"3780","Sc_g03607: protein EMB-1","Sc_g03607","nucleus, cytosol",""," response to abscisic acid",514
"3781","Sc_g03608: titin-like","Sc_g03608",""," metal ion binding","metal ion transport",1666
"3782","Sc_g03609: putative blue copper binding protein","Sc_g03609"," membrane","electron transfer activity","",1121
